"","ï..Id","seed_sown_current_3","sowing_date_current_3","harvest_date_current_3","ParentId1","ParentId2"
"418",3,2500,"8/13/2015 12:00:00 AM","8/31/2016 12:00:00 AM",0,"eb856a1f208841f5be9a142819fd340f"
"419",2,250,"2/29/2016 12:00:00 AM","6/28/2016 12:00:00 AM",0,"ebf243f38fe74211834358819182de10"
"420",3,240,"2/28/2015 12:00:00 AM","5/23/2016 12:00:00 AM",1,"ebf243f38fe74211834358819182de10"
"421",3,1500,"4/6/2016 12:00:00 AM","4/25/2017 12:00:00 AM",0,"ed38cc5df6e04c64b11a59d8b4801f6c"
"422",3,1100,"2/9/2016 12:00:00 AM","2/28/2017 12:00:00 AM",1,"ed38cc5df6e04c64b11a59d8b4801f6c"
"423",3,450,"2/9/2016 12:00:00 AM","2/25/2017 12:00:00 AM",2,"ed38cc5df6e04c64b11a59d8b4801f6c"
"424",3,21000,"5/27/2015 12:00:00 AM","4/27/2016 12:00:00 AM",0,"eea491f616e54edcb4f937062925bc08"
"425",3,1200,"3/31/2015 12:00:00 AM","3/23/2016 12:00:00 AM",0,"eec4df4a7d064549af652d3d17590f3d"
"426",3,1000,"9/29/2015 12:00:00 AM","10/5/2016 12:00:00 AM",1,"eec4df4a7d064549af652d3d17590f3d"
"427",1,600,"10/21/2015 12:00:00 AM","4/22/2016 12:00:00 AM",0,"efed306916a3413eb71d7905444d0c0d"
"428",2,200,"2/26/2016 12:00:00 AM","5/30/2016 12:00:00 AM",0,"efed306916a3413eb71d7905444d0c0d"
"429",3,1000,"9/12/2015 12:00:00 AM","8/18/2016 12:00:00 AM",0,"f0357c9846f74157ae5efeaa78e4563c"
"430",4,200,"2/13/2016 12:00:00 AM","2/9/2017 12:00:00 AM",0,"f0357c9846f74157ae5efeaa78e4563c"
"431",3,10000,"7/19/2015 12:00:00 AM","5/31/2016 12:00:00 AM",0,"f09adfd3e8394f60a003836a082d8fa2"
"432",3,1800,"9/3/2015 12:00:00 AM","6/11/2016 12:00:00 AM",0,"f19aff505563483683d1d83833406751"
"433",2,750,"2/5/2016 12:00:00 AM","4/19/2016 12:00:00 AM",0,"f1db5b27ea924e94b58a899375aa52e0"
"434",4,2.15,"1/25/2016 12:00:00 AM","4/27/2016 12:00:00 AM",0,"f1db5b27ea924e94b58a899375aa52e0"
"435",2,1300,"4/20/2016 12:00:00 AM","8/20/2016 12:00:00 AM",1,"f3e7ec5a92fc4327b9d7564683bbef6c"
"436",2,3200,"3/1/2016 12:00:00 AM","6/22/2016 12:00:00 AM",0,"f3e7ec5a92fc4327b9d7564683bbef6c"
"437",1,4500,"4/5/2016 12:00:00 AM","9/12/2016 12:00:00 AM",0,"f6dd3c680c5d4c71bd78a51b2fc08292"
"438",2,350,"3/14/2016 12:00:00 AM","7/14/2016 12:00:00 AM",0,"f6e63e3114004f8392460dccd3e41301"
"439",1,4000,"11/25/2015 12:00:00 AM","5/4/2016 12:00:00 AM",0,"f6e63e3114004f8392460dccd3e41301"
"440",3,2500,"12/9/2015 12:00:00 AM","11/23/2016 12:00:00 AM",0,"f70c02cc3919490b98c2a53244828b25"
"441",3,3000,"12/16/2015 12:00:00 AM","10/26/2016 12:00:00 AM",1,"f70c02cc3919490b98c2a53244828b25"
"442",3,1000,"10/21/2015 12:00:00 AM","12/20/2016 12:00:00 AM",2,"f70c02cc3919490b98c2a53244828b25"
